champion,item,frequency
TFT16_Aatrox,TFT_Item_Bloodthirster,272
TFT16_Aatrox,TFT_Item_UnstableConcoction,213
TFT16_Aatrox,TFT_Item_TitansResolve,143
TFT16_Ahri,TFT_Item_JeweledGauntlet,383
TFT16_Ahri,TFT_Item_Leviathan,361
TFT16_Ahri,TFT_Item_SpearOfShojin,199
TFT16_Ambessa,TFT_Item_UnstableConcoction,354
TFT16_Ambessa,TFT_Item_GuardianAngel,253
TFT16_Ambessa,TFT_Item_SteraksGage,223
TFT16_Anivia,TFT_Item_SpearOfShojin,4
TFT16_Anivia,TFT_Item_BlueBuff,3
TFT16_Anivia,TFT_Item_JeweledGauntlet,3
TFT16_Annie,TFT_Item_SpearOfShojin,473
TFT16_Annie,TFT_Item_StatikkShiv,326
TFT16_Annie,TFT_Item_AdaptiveHelm,270
TFT16_AnnieTibbers,TFT_Item_Redemption,207
TFT16_AnnieTibbers,TFT_Item_DragonsClaw,200
TFT16_AnnieTibbers,TFT_Item_WarmogsArmor,189
TFT16_Aphelios,TFT_Item_GuinsoosRageblade,103
TFT16_Aphelios,TFT_Item_RunaansHurricane,89
TFT16_Aphelios,TFT_Item_InfinityEdge,73
TFT16_Ashe,TFT_Item_GuinsoosRageblade,53
TFT16_Ashe,TFT_Item_Deathblade,32
TFT16_Ashe,TFT_Item_RunaansHurricane,25
TFT16_AurelionSol,TFT_Item_Leviathan,186
TFT16_AurelionSol,TFT_Item_JeweledGauntlet,130
TFT16_AurelionSol,TFT_Item_SpearOfShojin,52
TFT16_Azir,TFT_Item_GuinsoosRageblade,218
TFT16_Azir,TFT_Item_StatikkShiv,94
TFT16_Azir,TFT_Item_JeweledGauntlet,83
TFT16_Bard,TFT_Item_JeweledGauntlet,126
TFT16_Bard,TFT_Item_Leviathan,88
TFT16_Bard,TFT_Item_SpearOfShojin,84
TFT16_BaronNashor,TFT_Item_InfinityEdge,129
TFT16_BaronNashor,TFT_Item_SteraksGage,88
TFT16_BaronNashor,TFT_Item_Bloodthirster,80
TFT16_BelVeth,TFT_Item_Quicksilver,485
TFT16_BelVeth,TFT_Item_RunaansHurricane,330
TFT16_BelVeth,TFT_Item_MadredsBloodrazor,268
TFT16_Blitzcrank,TFT_Item_GargoyleStoneplate,4
TFT16_Blitzcrank,TFT_Item_BrambleVest,2
TFT16_Blitzcrank,TFT_Item_Crownguard,2
TFT16_Braum,TFT_Item_Redemption,447
TFT16_Braum,TFT_Item_BrambleVest,360
TFT16_Braum,TFT_Item_RedBuff,359
TFT16_Briar,TFT_Item_ThiefsGloves,10
TFT16_Briar,TFT_Item_GuardianAngel,4
TFT16_Briar,TFT_Item_TitansResolve,4
TFT16_Brock,TFT_Item_InfinityEdge,107
TFT16_Brock,TFT_Item_SteraksGage,104
TFT16_Brock,TFT_Item_Bloodthirster,87
TFT16_Caitlyn,TFT_Item_ForceOfNature,1
TFT16_Caitlyn,TFT_Item_LastWhisper,1
TFT16_Caitlyn,TFT_Item_MadredsBloodrazor,1
TFT16_ChoGath,TFT_Item_ThiefsGloves,18
TFT16_ChoGath,TFT_Item_WarmogsArmor,12
TFT16_ChoGath,TFT_Item_BrambleVest,10
TFT16_Darius,TFT_Item_SteraksGage,129
TFT16_Darius,TFT_Item_TitansResolve,122
TFT16_Darius,TFT_Item_AdaptiveHelm,116
TFT16_Diana,TFT_Item_Bloodthirster,29
TFT16_Diana,TFT_Item_TitansResolve,25
TFT16_Diana,TFT_Item_GuinsoosRageblade,16
TFT16_DrMundo,TFT_Item_RedBuff,61
TFT16_DrMundo,TFT_Item_Redemption,59
TFT16_DrMundo,TFT_Item_SpectralGauntlet,57
TFT16_Draven,TFT_Item_GuinsoosRageblade,108
TFT16_Draven,TFT_Item_RunaansHurricane,73
TFT16_Draven,TFT_Item_LastWhisper,54
TFT16_Ekko,TFT_Item_TitansResolve,12
TFT16_Ekko,TFT_Item_Bloodthirster,11
TFT16_Ekko,TFT_Item_GuardianAngel,5
TFT16_Fiddlesticks,TFT_Item_ThiefsGloves,335
TFT16_Fiddlesticks,TFT_Item_Morellonomicon,130
TFT16_Fiddlesticks,TFT_Item_PowerGauntlet,102
TFT16_Fizz,TFT_Item_JeweledGauntlet,100
TFT16_Fizz,TFT_Item_RabadonsDeathcap,76
TFT16_Fizz,TFT_Item_ThiefsGloves,73
TFT16_Galio,TFT_Item_ThiefsGloves,185
TFT16_Galio,TFT_Item_AdaptiveHelm,179
TFT16_Galio,TFT_Item_DragonsClaw,148
TFT16_Gangplank,TFT_Item_UnstableConcoction,40
TFT16_Gangplank,TFT_Item_Quicksilver,32
TFT16_Gangplank,TFT_Item_SteraksGage,30
TFT16_Garen,TFT_Item_Redemption,294
TFT16_Garen,TFT_Item_NightHarvester,239
TFT16_Garen,TFT_Item_DragonsClaw,215
TFT16_Graves,TFT_Item_ThiefsGloves,9
TFT16_Graves,TFT_Item_InfinityEdge,7
TFT16_Graves,TFT_Item_LastWhisper,6
TFT16_Gwen,TFT_Item_ThiefsGloves,14
TFT16_Gwen,TFT_Item_Bloodthirster,8
TFT16_Gwen,TFT_Item_JeweledGauntlet,7
TFT16_Illaoi,TFT_Item_Redemption,16
TFT16_Illaoi,TFT_Item_SpectralGauntlet,12
TFT16_Illaoi,TFT_Item_Bloodthirster,10
TFT16_JarvanIV,TFT_Item_Redemption,28
TFT16_JarvanIV,TFT_Item_NightHarvester,22
TFT16_JarvanIV,TFT_Item_WarmogsArmor,19
TFT16_Jhin,TFT_Item_LastWhisper,1
TFT16_Jhin,TFT_Item_MadredsBloodrazor,1
TFT16_Jinx,TFT_Item_GuinsoosRageblade,616
TFT16_Jinx,TFT_Item_RunaansHurricane,383
TFT16_Jinx,TFT_Item_LastWhisper,224
TFT16_Kaisa,TFT_Item_GuinsoosRageblade,526
TFT16_Kaisa,TFT_Item_HextechGunblade,254
TFT16_Kaisa,TFT_Item_JeweledGauntlet,223
TFT16_Kalista,TFT_Item_SpearOfShojin,314
TFT16_Kalista,TFT_Item_PowerGauntlet,313
TFT16_Kalista,TFT_Item_LastWhisper,288
TFT16_Kennen,TFT_Item_RedBuff,245
TFT16_Kennen,TFT_Item_Redemption,199
TFT16_Kennen,TFT_Item_IonicSpark,165
TFT16_Kindred,TFT_Item_GuinsoosRageblade,753
TFT16_Kindred,TFT_Item_RunaansHurricane,494
TFT16_Kindred,TFT_Item_MadredsBloodrazor,261
TFT16_Kobuko,TFT_Item_ThiefsGloves,75
TFT16_Kobuko,TFT_Item_RedBuff,52
TFT16_Kobuko,TFT_Item_Redemption,50
TFT16_KogMaw,TFT_Item_StatikkShiv,12
TFT16_KogMaw,TFT_Item_Morellonomicon,7
TFT16_KogMaw,TFT_Item_ThiefsGloves,7
TFT16_Leblanc,TFT_Item_JeweledGauntlet,149
TFT16_Leblanc,TFT_Item_SpearOfShojin,111
TFT16_Leblanc,TFT_Item_Leviathan,100
TFT16_Leona,TFT_Item_GargoyleStoneplate,380
TFT16_Leona,TFT_Item_Redemption,199
TFT16_Leona,TFT_Item_DragonsClaw,104
TFT16_Lissandra,TFT_Item_JeweledGauntlet,302
TFT16_Lissandra,TFT_Item_SpearOfShojin,243
TFT16_Lissandra,TFT_Item_StatikkShiv,236
TFT16_Loris,TFT_Item_ThiefsGloves,147
TFT16_Loris,TFT_Item_RedBuff,119
TFT16_Loris,TFT_Item_Redemption,116
TFT16_Lucian,TFT_Item_LastWhisper,592
TFT16_Lucian,TFT_Item_SpearOfShojin,511
TFT16_Lucian,TFT_Item_InfinityEdge,492
TFT16_Lulu,TFT_Item_RabadonsDeathcap,5
TFT16_Lulu,TFT_Item_AdaptiveHelm,4
TFT16_Lulu,TFT_Item_SpearOfShojin,4
TFT16_Lux,TFT_Item_JeweledGauntlet,352
TFT16_Lux,TFT_Item_Leviathan,256
TFT16_Lux,TFT_Item_ArchangelsStaff,251
TFT16_Malzahar,TFT_Item_Leviathan,545
TFT16_Malzahar,TFT_Item_JeweledGauntlet,401
TFT16_Malzahar,TFT_Item_SpearOfShojin,98
TFT16_Mel,TFT_Item_JeweledGauntlet,650
TFT16_Mel,TFT_Item_Leviathan,625
TFT16_Mel,TFT_Item_SpearOfShojin,373
TFT16_Milio,TFT_Item_SpearOfShojin,50
TFT16_Milio,TFT_Item_StatikkShiv,46
TFT16_Milio,TFT_Item_JeweledGauntlet,36
TFT16_MissFortune,TFT_Item_InfinityEdge,675
TFT16_MissFortune,TFT_Item_SpearOfShojin,438
TFT16_MissFortune,TFT16_Item_Bilgewater_FirstMatesFlintlock,295
TFT16_Nasus,TFT_Item_Redemption,162
TFT16_Nasus,TFT_Item_RedBuff,114
TFT16_Nasus,TFT_Item_DragonsClaw,111
TFT16_Nautilus,TFT_Item_SpectralGauntlet,185
TFT16_Nautilus,TFT_Item_Redemption,172
TFT16_Nautilus,TFT_Item_GargoyleStoneplate,147
TFT16_Neeko,TFT_Item_GargoyleStoneplate,138
TFT16_Neeko,TFT_Item_Redemption,121
TFT16_Neeko,TFT_Item_RedBuff,100
TFT16_Nidalee,TFT_Item_JeweledGauntlet,133
TFT16_Nidalee,TFT_Item_UnstableConcoction,76
TFT16_Nidalee,TFT_Item_HextechGunblade,54
TFT16_Orianna,TFT_Item_StatikkShiv,24
TFT16_Orianna,TFT_Item_Morellonomicon,17
TFT16_Orianna,TFT_Item_JeweledGauntlet,11
TFT16_Ornn,TFT_Item_Redemption,215
TFT16_Ornn,TFT_Item_SpectralGauntlet,158
TFT16_Ornn,TFT_Item_BrambleVest,141
TFT16_Poppy,TFT_Item_ThiefsGloves,23
TFT16_Poppy,TFT_Item_Redemption,16
TFT16_Poppy,TFT_Item_RedBuff,15
TFT16_Qiyana,TFT_Item_ThiefsGloves,2
TFT16_Qiyana,TFT_Item_Crownguard,1
TFT16_Qiyana,TFT_Item_GuinsoosRageblade,1
TFT16_RekSai,TFT_Item_ThiefsGloves,5
TFT16_RekSai,TFT_Item_MadredsBloodrazor,4
TFT16_RekSai,TFT16_Item_NoxusEmblemItem,3
TFT16_Renekton,TFT_Item_Bloodthirster,143
TFT16_Renekton,TFT_Item_SteraksGage,136
TFT16_Renekton,TFT_Item_ThiefsGloves,116
TFT16_RiftHerald,TFT_Item_Redemption,528
TFT16_RiftHerald,TFT_Item_RedBuff,438
TFT16_RiftHerald,TFT_Item_SpectralGauntlet,255
TFT16_Rumble,TFT_Item_GuinsoosRageblade,46
TFT16_Rumble,TFT_Item_ArchangelsStaff,24
TFT16_Rumble,TFT_Item_BrambleVest,12
TFT16_Ryze,TFT_Item_JeweledGauntlet,523
TFT16_Ryze,TFT_Item_SpearOfShojin,472
TFT16_Ryze,TFT_Item_Leviathan,419
TFT16_Sejuani,TFT_Item_Redemption,155
TFT16_Sejuani,TFT_Item_RedBuff,120
TFT16_Sejuani,TFT_Item_FrozenHeart,86
TFT16_Seraphine,TFT_Item_JeweledGauntlet,325
TFT16_Seraphine,TFT_Item_SpearOfShojin,283
TFT16_Seraphine,TFT_Item_StatikkShiv,253
TFT16_Sett,TFT_Item_JeweledGauntlet,433
TFT16_Sett,TFT_Item_ThiefsGloves,351
TFT16_Sett,TFT_Item_UnstableConcoction,331
TFT16_Shen,TFT_Item_ThiefsGloves,21
TFT16_Shen,TFT_Item_Redemption,13
TFT16_Shen,TFT_Item_BrambleVest,8
TFT16_Shyvana,TFT_Item_ThiefsGloves,709
TFT16_Shyvana,TFT_Item_SteraksGage,449
TFT16_Shyvana,TFT_Item_Bloodthirster,406
TFT16_Singed,TFT_Item_Morellonomicon,116
TFT16_Singed,TFT_Item_ThiefsGloves,56
TFT16_Singed,TFT_Item_Redemption,43
TFT16_Sion,TFT_Item_RedBuff,109
TFT16_Sion,TFT_Item_Redemption,80
TFT16_Sion,TFT_Item_DragonsClaw,55
TFT16_Skarner,TFT_Item_GargoyleStoneplate,187
TFT16_Skarner,TFT_Item_Redemption,140
TFT16_Skarner,TFT_Item_RedBuff,116
TFT16_Sona,TFT_Item_ArchangelsStaff,25
TFT16_Sona,TFT_Item_HextechGunblade,17
TFT16_Sona,TFT_Item_JeweledGauntlet,12
TFT16_Swain,TFT_Item_FrozenHeart,779
TFT16_Swain,TFT_Item_RedBuff,460
TFT16_Swain,TFT_Item_Redemption,384
TFT16_Sylas,TFT_Item_JeweledGauntlet,722
TFT16_Sylas,TFT_Item_GuardianAngel,455
TFT16_Sylas,TFT_Item_Bloodthirster,410
TFT16_THex,TFT_Item_InfinityEdge,444
TFT16_THex,TFT_Item_BlueBuff,319
TFT16_THex,TFT_Item_PowerGauntlet,238
TFT16_TahmKench,TFT_Item_FrozenHeart,342
TFT16_TahmKench,TFT16_Item_Bilgewater_PileOCitrus,312
TFT16_TahmKench,TFT_Item_Redemption,223
TFT16_Taric,TFT_Item_Redemption,362
TFT16_Taric,TFT_Item_RedBuff,322
TFT16_Taric,TFT_Item_NightHarvester,274
TFT16_Teemo,TFT_Item_StatikkShiv,19
TFT16_Teemo,TFT_Item_SpearOfShojin,16
TFT16_Teemo,TFT_Item_JeweledGauntlet,12
TFT16_Thresh,TFT_Item_Morellonomicon,239
TFT16_Thresh,TFT_Item_IonicSpark,178
TFT16_Thresh,TFT_Item_Bloodthirster,174
TFT16_Tristana,TFT_Item_InfinityEdge,14
TFT16_Tristana,TFT_Item_SpearOfShojin,8
TFT16_Tristana,TFT_Item_GuinsoosRageblade,7
TFT16_Tryndamere,TFT_Item_Quicksilver,51
TFT16_Tryndamere,TFT_Item_InfinityEdge,32
TFT16_Tryndamere,TFT_Item_Bloodthirster,27
TFT16_TwistedFate,TFT16_Item_Bilgewater_CaptainsBrew,298
TFT16_TwistedFate,TFT_Item_Morellonomicon,122
TFT16_TwistedFate,TFT_Item_GuinsoosRageblade,96
TFT16_Vayne,TFT_Item_RunaansHurricane,41
TFT16_Vayne,TFT_Item_GuinsoosRageblade,15
TFT16_Vayne,TFT_Item_InfinityEdge,14
TFT16_Veigar,TFT_Item_RabadonsDeathcap,259
TFT16_Veigar,TFT_Item_SpearOfShojin,200
TFT16_Veigar,TFT_Item_HextechGunblade,87
TFT16_Vi,TFT_Item_ThiefsGloves,80
TFT16_Vi,TFT_Item_SteraksGage,18
TFT16_Vi,TFT_Item_Bloodthirster,17
TFT16_Viego,TFT_Item_TitansResolve,61
TFT16_Viego,TFT_Item_GuardianAngel,59
TFT16_Viego,TFT_Item_Bloodthirster,57
TFT16_Volibear,TFT_Item_SteraksGage,478
TFT16_Volibear,TFT_Item_Bloodthirster,442
TFT16_Volibear,TFT_Item_TitansResolve,273
TFT16_Warwick,TFT_Item_TitansResolve,562
TFT16_Warwick,TFT_Item_SteraksGage,439
TFT16_Warwick,TFT_Item_Bloodthirster,355
TFT16_Wukong,TFT_Item_RedBuff,820
TFT16_Wukong,TFT_Item_Redemption,785
TFT16_Wukong,TFT_Item_SpectralGauntlet,766
TFT16_Xerath,TFT_Item_JeweledGauntlet,173
TFT16_Xerath,TFT_Item_SpearOfShojin,146
TFT16_Xerath,TFT_Item_Leviathan,117
TFT16_XinZhao,TFT_Item_ThiefsGloves,16
TFT16_XinZhao,TFT_Item_BrambleVest,8
TFT16_XinZhao,TFT_Item_RedBuff,7
TFT16_Yasuo,TFT_Item_InfinityEdge,72
TFT16_Yasuo,TFT_Item_UnstableConcoction,69
TFT16_Yasuo,TFT_Item_GuardianAngel,65
TFT16_Yone,TFT_Item_GuinsoosRageblade,648
TFT16_Yone,TFT_Item_Bloodthirster,638
TFT16_Yone,TFT_Item_TitansResolve,619
TFT16_Yorick,TFT_Item_ThiefsGloves,17
TFT16_Yorick,TFT_Item_NightHarvester,12
TFT16_Yorick,TFT_Item_Redemption,11
TFT16_Yunara,TFT_Item_InfinityEdge,412
TFT16_Yunara,TFT_Item_GuinsoosRageblade,399
TFT16_Yunara,TFT_Item_PowerGauntlet,109
TFT16_Zaahen,TFT_Item_TitansResolve,114
TFT16_Zaahen,TFT_Item_Bloodthirster,87
TFT16_Zaahen,TFT_Item_InfinityEdge,86
TFT16_Ziggs,TFT_Item_GuinsoosRageblade,253
TFT16_Ziggs,TFT_Item_StatikkShiv,248
TFT16_Ziggs,TFT_Item_JeweledGauntlet,160
TFT16_Zilean,TFT_Item_SpearOfShojin,268
TFT16_Zilean,TFT_Item_StatikkShiv,265
TFT16_Zilean,TFT_Item_JeweledGauntlet,207
TFT16_Zoe,TFT_Item_SpearOfShojin,211
TFT16_Zoe,TFT_Item_JeweledGauntlet,181
TFT16_Zoe,TFT_Item_HextechGunblade,127
TFT4_Aatrox,TFT_Item_RedBuff,6
TFT4_Aatrox,TFT_Item_WarmogsArmor,6
TFT4_Aatrox,TFT_Item_DragonsClaw,4
TFT4_Akali,TFT_Item_UnstableConcoction,4
TFT4_Akali,TFT_Item_GuardianAngel,2
TFT4_Akali,TFT_Item_PowerGauntlet,2
TFT4_Annie,TFT4_Item_ElderwoodEmblemItem,3
TFT4_Annie,TFT_Item_Crownguard,2
TFT4_Annie,TFT_Item_DragonsClaw,2
TFT4_AurelionSol,TFT_Item_JeweledGauntlet,4
TFT4_AurelionSol,TFT_Item_Leviathan,3
TFT4_AurelionSol,TFT_Item_RabadonsDeathcap,2
TFT4_Azir,TFT_Item_SpearOfShojin,6
TFT4_Azir,TFT_Item_GuinsoosRageblade,3
TFT4_Azir,TFT4_Item_DuelistEmblemItem,2
TFT4_Brand,TFT_Item_BrambleVest,1
TFT4_Brand,TFT_Item_NightHarvester,1
TFT4_Brand,TFT_Item_RapidFireCannon,1
TFT4_Braum,TFT_Item_RunaansHurricane,1
TFT4_Braum,TFT_Item_SpectralGauntlet,1
TFT4_Braum,TFT_Item_WarmogsArmor,1
TFT4_Darius,TFT_Item_JeweledGauntlet,2
TFT4_Darius,TFT_Item_UnstableConcoction,2
TFT4_Darius,TFT_Item_ArchangelsStaff,1
TFT4_Elise,TFT_Item_WarmogsArmor,5
TFT4_Elise,TFT_Item_Redemption,4
TFT4_Elise,TFT_Item_DragonsClaw,2
TFT4_Garen,TFT_Item_FrozenHeart,1
TFT4_Garen,TFT_Item_GargoyleStoneplate,1
TFT4_Garen,TFT_Item_GiantsBelt,1
TFT4_Irelia,TFT_Item_RedBuff,3
TFT4_Irelia,TFT_Item_GargoyleStoneplate,2
TFT4_Irelia,TFT_Item_NightHarvester,2
TFT4_Janna,TFT_Item_HextechGunblade,2
TFT4_Janna,TFT_Item_LastWhisper,1
TFT4_Janna,TFT_Item_RapidFireCannon,1
TFT4_JarvanIV,TFT_Item_RedBuff,2
TFT4_JarvanIV,TFT_Item_FrozenHeart,1
TFT4_JarvanIV,TFT_Item_GargoyleStoneplate,1
TFT4_Jax,TFT_Item_GargoyleStoneplate,2
TFT4_Jax,TFT_Item_Redemption,2
TFT4_Jax,TFT_Item_AdaptiveHelm,1
TFT4_Kalista,TFT_Item_GuinsoosRageblade,11
TFT4_Kalista,TFT_Item_MadredsBloodrazor,4
TFT4_Kalista,TFT_Item_GuardianAngel,3
TFT4_Katarina,TFT_Item_JeweledGauntlet,5
TFT4_Katarina,TFT_Item_UnstableConcoction,3
TFT4_Katarina,TFT4_Item_SlayerEmblemItem,2
TFT4_Kayle,TFT_Item_GuardianAngel,3
TFT4_Kayle,TFT_Item_GuinsoosRageblade,3
TFT4_Kayle,TFT_Item_Quicksilver,3
TFT4_Kennen,TFT_Item_AdaptiveHelm,2
TFT4_Kennen,TFT_Item_SpearOfShojin,2
TFT4_Kennen,TFT4_Item_ElderwoodEmblemItem,1
TFT4_LeeSin,TFT_Item_GuardianAngel,7
TFT4_LeeSin,TFT_Item_BlueBuff,5
TFT4_LeeSin,TFT_Item_SpearOfShojin,3
TFT4_Lulu,TFT_Item_SpearOfShojin,5
TFT4_Lulu,TFT_Item_GuinsoosRageblade,3
TFT4_Lulu,TFT_Item_Leviathan,3
TFT4_Maokai,TFT4_Item_CultistEmblemItem,1
TFT4_Maokai,TFT_Item_Redemption,1
TFT4_Maokai,TFT_Item_WarmogsArmor,1
TFT4_Nasus,TFT_Item_GargoyleStoneplate,1
TFT4_Nasus,TFT_Item_RedBuff,1
TFT4_Nasus,TFT_Item_ThiefsGloves,1
TFT4_Nautilus,TFT_Item_WarmogsArmor,2
TFT4_Nautilus,TFT4_Item_OrnnTheCollector,1
TFT4_Nautilus,TFT_Item_Artifact_SeekersArmguard,1
TFT4_Neeko,TFT_Item_ArchangelsStaff,2
TFT4_Neeko,TFT_Item_JeweledGauntlet,2
TFT4_Neeko,TFT_Item_BlueBuff,1
TFT4_Nidalee,TFT_Item_GuinsoosRageblade,2
TFT4_Nidalee,TFT_Item_HextechGunblade,2
TFT4_Nidalee,TFT_Item_AdaptiveHelm,1
TFT4_Nunu,TFT_Item_WarmogsArmor,4
TFT4_Nunu,TFT_Item_GargoyleStoneplate,3
TFT4_Nunu,TFT_Item_BrambleVest,2
TFT4_Olaf,TFT_Item_GuinsoosRageblade,6
TFT4_Olaf,TFT_Item_Bloodthirster,5
TFT4_Olaf,TFT_Item_TitansResolve,5
TFT4_Ornn,TFT_Item_Crownguard,2
TFT4_Ornn,TFT_Item_RedBuff,2
TFT4_Ornn,TFT_Item_SpectralGauntlet,2
TFT4_Pyke,TFT_Item_GuinsoosRageblade,4
TFT4_Pyke,TFT_Item_StatikkShiv,3
TFT4_Pyke,TFT5_Item_HandOfJusticeRadiant,2
TFT4_Rakan,TFT_Item_RedBuff,4
TFT4_Rakan,TFT_Item_DragonsClaw,3
TFT4_Rakan,TFT_Item_NightHarvester,2
TFT4_Samira,TFT_Item_InfinityEdge,6
TFT4_Samira,TFT_Item_UnstableConcoction,4
TFT4_Samira,TFT_Item_GuardianAngel,3
TFT4_Sejuani,TFT_Item_BrambleVest,3
TFT4_Sejuani,TFT_Item_GargoyleStoneplate,3
TFT4_Sejuani,TFT_Item_RedBuff,3
TFT4_Sett,TFT_Item_UnstableConcoction,2
TFT4_Sett,TFT4_Item_MageEmblemItem,1
TFT4_Sett,TFT4_Item_WarlordEmblemItem,1
TFT4_Shen,TFT_Item_RedBuff,5
TFT4_Shen,TFT_Item_WarmogsArmor,3
TFT4_Shen,TFT_Item_DragonsClaw,2
TFT4_Shyvana,TFT_Item_Bloodthirster,3
TFT4_Shyvana,TFT_Item_GuinsoosRageblade,2
TFT4_Shyvana,TFT_Item_UnstableConcoction,2
TFT4_Sivir,TFT_Item_InfinityEdge,5
TFT4_Sivir,TFT_Item_GuinsoosRageblade,4
TFT4_Sivir,TFT_Item_MadredsBloodrazor,2
TFT4_Swain,TFT_Item_FrozenHeart,3
TFT4_Swain,TFT_Item_Redemption,3
TFT4_Swain,TFT_Item_BrambleVest,2
TFT4_TahmKench,TFT_Item_DragonsClaw,1
TFT4_TahmKench,TFT_Item_GargoyleStoneplate,1
TFT4_TahmKench,TFT_Item_RedBuff,1
TFT4_Talon,TFT_Item_Bloodthirster,5
TFT4_Talon,TFT_Item_UnstableConcoction,5
TFT4_Talon,TFT_Item_GuardianAngel,3
TFT4_Teemo,TFT_Item_ArchangelsStaff,2
TFT4_Teemo,TFT_Item_JeweledGauntlet,2
TFT4_Teemo,TFT_Item_Artifact_RapidFirecannon,1
TFT4_Tryndamere,TFT_Item_Bloodthirster,10
TFT4_Tryndamere,TFT_Item_Quicksilver,6
TFT4_Tryndamere,TFT_Item_SteraksGage,5
TFT4_TwistedFate,TFT_Item_BlueBuff,2
TFT4_TwistedFate,TFT_Item_JeweledGauntlet,1
TFT4_TwistedFate,TFT_Item_MadredsBloodrazor,1
TFT4_Veigar,TFT_Item_HextechGunblade,11
TFT4_Veigar,TFT_Item_JeweledGauntlet,6
TFT4_Veigar,TFT_Item_BlueBuff,5
TFT4_Vi,TFT_Item_UnstableConcoction,3
TFT4_Vi,TFT_Item_GuardianAngel,2
TFT4_Vi,TFT4_Item_SlayerEmblemItem,1
TFT4_Vladimir,TFT4_Item_DragonsoulEmblemItem,1
TFT4_Vladimir,TFT_Item_Artifact_TalismanOfAscension,1
TFT4_Vladimir,TFT_Item_Bloodthirster,1
TFT4_Wukong,TFT_Item_TitansResolve,3
TFT4_Wukong,TFT_Item_GuardianAngel,2
TFT4_Wukong,TFT_Item_Deathblade,1
TFT4_Xayah,TFT_Item_InfinityEdge,2
TFT4_Xayah,TFT_Item_Leviathan,2
TFT4_Xayah,TFT_Item_MadredsBloodrazor,2
TFT4_Yasuo,TFT_Item_TitansResolve,4
TFT4_Yasuo,TFT_Item_Bloodthirster,3
TFT4_Yasuo,TFT4_Item_AssassinEmblemItem,1
TFT4_Yone,TFT4_Item_DuelistEmblemItem,2
TFT4_Yone,TFT_Item_Bloodthirster,2
TFT4_Yone,TFT_Item_EmptyBag,2
TFT4_Yuumi,TFT_Item_Crownguard,1
TFT4_Yuumi,TFT_Item_GuinsoosRageblade,1
TFT4_Yuumi,TFT_Item_ThiefsGloves,1
TFT4_Zilean,TFT_Item_StatikkShiv,3
TFT4_Zilean,TFT_Item_GuinsoosRageblade,2
TFT4_Zilean,TFT_Item_Morellonomicon,2
TFT4b_Diana,TFT9_Item_CrownOfDemacia,1
TFT4b_Diana,TFT_Item_Bloodthirster,1
TFT4b_Diana,TFT_Item_BrambleVest,1
TFT4b_Kindred,TFT_Item_GuardianAngel,1
TFT4b_Kindred,TFT_Item_GuinsoosRageblade,1
TFT4b_Kindred,TFT_Item_UnstableConcoction,1
TFT4b_Morgana,TFT_Item_MadredsBloodrazor,2
TFT4b_Morgana,TFT_Item_AdaptiveHelm,1
TFT4b_Morgana,TFT_Item_Morellonomicon,1
TFT4b_Zed,TFT_Item_GuardianAngel,2
TFT4b_Zed,TFT_Item_GuinsoosRageblade,2
TFT4b_Zed,TFT_Item_InfinityEdge,1
