puuid,leaguePoints,wins,losses,tier
gqrF3q3y1AyH4SepzEXbNr7Cl_gtsKyny_darrk3z0KZruiOo58BQNXJGo5N6wBybAMtiAfjZnGgSQ,1183,188,144,CHALLENGER
0Anbr8BqVmwElfY_VmPh3Bml2SEdsdGEpfrrbwMACi-ICJAy0vOmerTbW32BCmqxKI9SuCXazWcfgw,1182,331,230,CHALLENGER
ulEiryHSrvjrq96PDY2mOO78E8Dpxc7b1ePjltYPXAsSWGaREJz71c-57E_xnP2DcdZ1wg8uSRSsGg,1181,355,273,CHALLENGER
WR5isj-EkBMKhlDZoUY6sy1QhsLlsUtEF1Vrj2fJufdOyFZFtXvZDq-RvPGl7HZa87eIegBJGSu9oQ,1181,223,187,CHALLENGER
if2xatZKg2v5uRTkg4AKQyfgulAUzTUr-71qGueY3PNwafoszofUVw6CgMDmFxXi2UDI5UNO_5BJ1w,1181,209,129,CHALLENGER
s_XwGE-MUIpwOWYBlQ8gQ_3_PSwk9DulnAhWE_rOPqgaYKnlLyfIIDiba0Tog8-vSvN8A-fmQwo2Wg,1181,114,54,CHALLENGER
WCuQEZ-DjMtScWf04aH0X91qxQiI0ZFItDso7DjXnDfzORUDebIokIgITjJ4ywiX8u_myfgzGnGl3A,1179,384,337,CHALLENGER
tj69G48IqWXCr8dbp-4796B8Oua0GDQZyAYGk7LH_YNFITlT3JVG8zG0B62aUNyx8dsEq2IfvvNBtw,1179,531,423,CHALLENGER
EPV8jEYSycwGR4l2qGPSLDlBi8G5lR99_-p_7h4bccsnTnuAPRCbkQt-1iDGVE4rZHR7bpOaQbJ-nw,1177,194,156,CHALLENGER
_3tB7KdCFP5P6lwvCavB4R3kmpcQMnAOa-gueB63OamEWx2wBDrPkX2NqD46oWxy59PHtRcXdToysw,1177,265,204,CHALLENGER
HwtgRnkth-VwhXmICCmA8Lg_G-Y-o1vsUmUXGoPvtnk7NsBGo1dYG9s-Lxv8FInsSVPprGKysJYe2w,1176,265,189,CHALLENGER
z11pQIYzQoYfinFCPwvTtHhueMDNBgW0OrKvNC5HZeLrJMbK8LUUIYRbnX8w1rIpjPFMfIe0HrH7OQ,1174,238,194,CHALLENGER
W3dRWPbTBvUtMk8z3dS9FMTTuQO6pYoefg1NgI288BXBKWDKEG9HidbY5HVEae5SDjLfSRvurD_uxA,1171,188,146,CHALLENGER
7xNt7bOHXf4IHHM306s9woMm9ae_sJa3USqOSFxu03w3gjy7Baz01kIUa01uhzprVvdlvqG4eE9DkQ,1169,311,232,CHALLENGER
duX94UX-Bg5l4nQczCgFOCXCMIkW6xlf9KQPD-mosJwCbsthMVQyQDdGk1jqG0MvxfS_JHfbBbPSOA,1167,325,278,CHALLENGER
3sfqVdojbHNY_i1nX6kSBArko1QPBFQ2B0BsvzZ4d_0dUd62URc1SdUqQcBDyNWhM6R0FpIOnhaNUw,1166,263,211,CHALLENGER
BvDV8_26rWkIrKMrRVroW30JeREXCNxCoTZDWG17V2o0I8B5CVPQmmPqDKKeeWqPYUPp9r_np9IW7g,1166,605,513,CHALLENGER
DazyOIKxlLtRllv4aVl1Duh9mWHsq-scogx8IDX9-opJ0mEC185bqCavn4fYWJvjPRRityLKicfqAg,1165,718,564,CHALLENGER
_rgz9_myyAAOxIAmg-roEaBOyHAWiP2dZxajCcqOrxTt8LxKU35qwFFM1B3ywOpQVlWf-o73AQjEvQ,1161,270,182,CHALLENGER
qATGNRkeFY6thvAzoQEoCzS3oiuggMGgy9V_AmT5moQ9B95t9PFjt7_-v27lMFiOyPx2DgXR5Xe5WA,1160,434,384,CHALLENGER
DVZeCBhIaSCcL-bbVCrw6gmULSJsZ_chwzF2ax9khLfqMvI-bwKU0FD2tAdlTEY8ftgiMdyTLLsfUQ,1158,258,212,CHALLENGER
RWnuPxXceYsBPOFzTzy9XUeg81WuoaB_M2OP04T9OcG4ap7dVakUO_Sqe6M1oWwI3qU2UDpxOq7crw,1158,427,361,CHALLENGER
4XL5usxLauhG5kMf_WuoOlfFPABOdly1lVyt0RjfZJLLSC8zPc6SrKAu87p4CANbY5JIoLEvsnZpSw,1158,170,125,CHALLENGER
xjYSR0L4zu4PfOF-IIHuSdXGrOrUXQ-tffcFoI4LrfGwGIFfhAWAyhIDO6bh9ICZhkLpwwYytZ3LzQ,1156,272,208,CHALLENGER
5TJz_pw3cgULf5RSXn6pTVjcofNb6rHUNTQ2-5RJ8FCPmzOH1GHj-6HFXhayd2P5J7e1bhT0ZOkPrg,1155,279,237,CHALLENGER
kLWpSrSE9UT1thnbOJ90dagBWIFgs6asgU-MOz7PzeF2o96jQnFzrds0QHtOm3qmkfe8sc4aGabATA,1152,586,474,CHALLENGER
gNDtNe1_numA0BtpZxoWVSvfwD-sf1NcctF8Ezl_BcQoBS4zIW5Jw3pg6hafAqdOXReJ4EKdzFEoDg,1152,414,336,CHALLENGER
T8AOjrcd_-qm1t_3yTswMJ3TIRZLRbdZNaARUaLdF9ZVZPSJksjYxIF63Ds-ek8Nl9-CMNcd0G84nA,1151,414,310,CHALLENGER
LMyDAGHCOk3ZkesH0hZY7dYq-7PWuefCjgXOIZ9hhN_a-_hcM3AFTI5MmwIdtJ2RvdNaavC62jkpBA,1150,202,151,CHALLENGER
NSg5o-VtAJpNa5npn5aUtoKQlUKH2Ds-zCddRg0siiM-_Y2KfRalxSyCP3VP30sg6Z2WnURGKRMsvw,1147,377,309,CHALLENGER
wRbKn-4lH2XZPOjAqQcGeEeYhm_tXADbLoH419h3RZNxexNK-qgPiSQfA5z-06fImIt4mdiXCz1T2Q,1146,399,355,CHALLENGER
LwRtM-s5ZPjanyJvxVg6LPxITu9TqU0haXfJ8Eo3OKf9gxXMAPalv3xxgjUDwRvs1S8_iWN6wxLfXQ,1146,281,181,CHALLENGER
w128C-r_VMIe3KxNtRgiYsk12P5A0ZmiPfrTzS4HT8Pwyv1Ked0oEQZWTEx2psr4HBaeEjrj5L6f8g,1145,677,595,GRANDMASTER
dPvyE4w4VrYHwcKy-DjwJ8AXfQJlgD4aenlGuVw_CrHcWQoNf6uDD58TLGnEmlJj1k7PpRd-pk3EAQ,1143,476,441,CHALLENGER
FCgjloB9mBQ_vLuYkkTRfJYTigrkk_6Ls_fACD-1jdlj2I3HAGbl_WpFzG93Uc4adxeYJCrwZuYEFA,1143,202,152,CHALLENGER
zyDVGgww0J-c58EIGvoKPHaaVw4ehTroA_6cr-H4iQx2gKbd-NVtx9Id7xpC87GMGe5coNCYDHPdcw,1141,257,214,CHALLENGER
MI-kUDCe7wJ0Sq8ueH2dEzBjO6o-ePvzpUx6eIqGLPXIH9AzS9Rs8h1oX-FS-RwtSPW9uXo0obLAhw,1141,194,162,CHALLENGER
BAr86TifalZU-YEQSq1WQZWECdibBBzxw0pcs2za0ypeVC150okr-S0CqDZRu5L51NNNRhXzpxCMfw,1138,265,195,CHALLENGER
Cup1XEioQGQbYxzY9sAPFEcJUbXLJj_CTD0QxM9EYpHejjcjpzrVSzFgCtK0_7Q0POgsvtjAvCwUrw,1137,196,137,CHALLENGER
yL17JTg8YepMeEyaBDcWH8Yhu76-Gyt-O0QxbPlYwgwKDZ2R_Tgi0d85_bgHCz8Zy07O6uHRyLWuHg,1136,351,279,CHALLENGER
_Nt8I33ZQs4lPnpauNriVox5MCBCYZy_ttpZ-OtRwHr_cNhMdiEWPnH-YFWybuqNZXekQdi-ZURYEQ,1133,407,362,CHALLENGER
rLT6oaqATy9mIihN81jTDQgeGnT_bdbwmq33XMxmUV-t1FdosFIdPcF4mkAQ9ZgDYFDlCGAHWEARMw,1132,136,82,CHALLENGER
fNQKAt9e4p8lE2cHFWnSbraBJGksN4klsaQdVhUEthDMqqIgnRyUHnrvIYDL28s2tTougG22mZ7grg,1129,424,359,GRANDMASTER
h3MP3lyZzgY5RtYcGdnU9xCmMYebxkRl2QLt-yv_lE5KMO5pvg2NU-OOIBWDto5IrwgL8Q7Esw7XWw,1127,124,69,CHALLENGER
XMCsPkZtcX_RFjhi4KfbqoC_4U-WB_VY59qrrZN89RdMiaPCYjNXqlAA4pHhaZ274ZIqz07ggKlkYg,1126,124,75,CHALLENGER
MF-LghIA4jQHshH6PfDD0fWJ5nAqr_7E6ePs2Fm4s_Gze08F3OzN_eKidr7CoFh4zf0h57coIVke7A,1126,505,452,CHALLENGER
xKbbcbzZXy9buHlVpaUORI4n0z8iQNtvNWOcN3raMW1CBECOqsRk3RG_GkBBbbOo0yOjfjB-hNIOIQ,1125,435,368,CHALLENGER
mOBvv6pDltTFBY9Mvlod_1Oj5e1p0rTo0AsfYGnDhN_Z4sUgC0Gdo6zjJXoedcxsdnxqiNE3xa2cwg,1124,326,287,CHALLENGER
X5oz4GTLGg-TNnuhIUHazbGUlr2R4ha-h3BF1kutJR0LfdHRFBPVHH8lEReDXvQfqzFgDDZNem5WiA,1122,307,251,CHALLENGER
pEmzxC-UUn1vqpxhWujbjbiQGAh2FsopCx_N_qybr2iEKTYQwvOtMr-HKEnhGBpzK2OduRPd1AD0cg,1120,274,203,CHALLENGER
SZ0a25VP0JseV4F41MXCvAM2b13Bc9oUtfj_6hLzd5GDxYv0zC374RezfwQvsISJ2DaenS_rfpMA3A,1120,364,287,CHALLENGER
MFEPVGajUzsDCKvEPecxqfsw7v2mg1CCR5njd2UYvq6IQFL26Z2idMnYFQqpvMOMzbqGKpk1Nwhe8g,1119,220,167,CHALLENGER
31bOAw7k-DDGp510VPQ2q7ZUt4ZVEirqv_pn3mXvFQ6hMRnN-8MRGtCsVYx-FXvsCbheq2Kk3TSiKw,1118,445,389,CHALLENGER
xYKmCFOn9TxIE36ZymsK_1D-tFJJ2q4r3ewB-WAqdVjzZ5vaozJIOdGhoT4FW1lldoDTnEDVn0Ktyg,1115,230,159,CHALLENGER
BG3hvTbxy2hrVxmgTPnaUlC7O8VS2ptCqR_2PrAnPSUIZqzX7ZNt00nKHUsUZiSmHZMWo3F6NpfrHQ,1114,343,290,GRANDMASTER
IePF10Wd95hAyguPQsNHxGoyyF4gk8p3RWleR46lyGxYvg_D6zciYqiQFVo8eImkxwAgPo3PWc9BGw,1112,212,172,CHALLENGER
h9ObAywm6glz7Cvhj7-xwDSotrs1NXUA5wanAEObtlgoF4N4An7zpkBSHG5_qzRFJKyMu-RWyCLE_A,1111,363,318,CHALLENGER
cWVb0hUbuv7ccdi4i2tfaWij_mM5xz1SrLYF6nj6gHABjJln69AJabw0sMFQu1T_3FWR_ZUdNJHclg,1110,301,246,CHALLENGER
uMT7tt8kDgr99Qgr1g9EB1pscFWcHru6mNLQgQNrhz-L5QT6fb-X_mrVKsbq-gwKaKzr_3h3Wh0_ug,1109,272,182,GRANDMASTER
AR9HCg1EB6SCLfWdLtip9yx_moenQep0xM_jPTDF3n8oIH6Jp2_F3KDqkT3UBZTNz_BKlOso7-ex5w,1108,318,275,CHALLENGER
g9cb4Q1857EmQTugKwIj52laKRFmw9I6C9lto_dpZ4z35I1AnDvaRNyoeGB6xIajPgloTKHucXEmsw,1107,165,119,CHALLENGER
o4SBN0cIga1QFNxLEFFp8-6sTvYmuy9Jp8PTDKzvhF_E4FB61_wvkJA3ZJzMEkfrlDF3n2_yBTzxeQ,1107,338,308,CHALLENGER
WziQtHLAzzMhuQLcNZa4rd-VkT-n0lBp3Y1-FcYrMt3bOr5KdnP8N50bcGqdg3fbqct3kmQZ6ynfPw,1107,259,215,CHALLENGER
Dj3ydSqNKH6dZOcTNRijis5wfYbRCQVGXWmO5eKj_GPS4I4oEmnK-A0fHcwVcuYlQnHGdFwZXLxaWA,1106,210,172,CHALLENGER
gQdePzYqYW9AsSqF4tmLkAx6DTCYa7sB9TU7XX16avXc7HgDCWxtAAvNtGgqwYRoYLBwP_Ak3W41eA,1106,500,403,CHALLENGER
a67UK-6Jk_XWGEFrnNpXlsa9gCme_1PyIaIM2_2-TmTYVQB32Miw3e5jquacJHyc2rVqPgs9KsAEeA,1105,314,259,CHALLENGER
_WS_ep5veNMRiDRyctAjwrzGKA56vjuLB20h2QfycHGoNwhu699oUWx9ntR32Q0TGSbNOl_M51Fw-g,1104,480,433,CHALLENGER
xfstqgW3LVXIiCXEP-4yFKtVTVm8450XasnltLQQd6VNBzFZIjHb1fHHD3mEIJI0ME-JE0KbwqjRaQ,1103,477,371,CHALLENGER
mIF4-TtWMVfaPdwFpXc6YPq-xIfAWb7V6gvqtIPnjTXA1HWW7PSqM7Ol1NMK4phFc9hzdw0wHJUYwg,1103,707,640,GRANDMASTER
L4pCh58Ts8irCK30LkFOYtXj1iXB48U2oMlUN3DQ0S7_RQiRtEWC_poy4mr4BfcqHrWJwKrbgBCaFA,1102,306,236,CHALLENGER
XL-yGB54lhasdk9zInxNTR35n0-dQClbxxIeAX-Szxes5_0y8AU9VfWZskNe2dQyBp6n2kTZP5nNjw,1101,483,423,CHALLENGER
3gHt-IJvHy-X855_BEEwHycpLHmGhUASLwDkSeXy5E89UZLXPxJ2amteW33TUlatP68ftMo89otr6Q,1101,160,106,CHALLENGER
kulVu6JjE5Xkz5To-_oyGv-22eX-lAnpTv_Ur2tQMz5NeBBgU8tXX4dn5mFjuozVbPONGQTw70FbQA,1100,293,250,CHALLENGER
aAYF1IAQFFfOfVzHmg3ZdD8ONcLRgWjuNV29c8nBww_nICUH2xcwHL4H7YTLvlK54rPe3zQV-PL9MQ,1100,310,265,GRANDMASTER
5lKz4wj1KCE6gG7R9TE7xbKuaaftOxKegVfwablcLEKilOqBmA4AZgCRq2RdFj-WxxRDOcaKepP-fQ,1100,205,160,CHALLENGER
Hg6BNiW3_iY8hnsm7B_fHWm92ZcIacaI8tVcheLPmQnKuAvv5uM0L-paSwjwaKmFP4ZWuIBIgTp4Ug,1100,259,196,CHALLENGER
yu59d1IGYOI1k7qnrwsNT2US1FZJ1m_qaBqYwv02yuExlkVzjkM2MtlK71B8T4CFeJzQicXdBbEi1g,1099,386,331,GRANDMASTER
ceCzPQnPJ1Cz6Z6AnvcfQZHWvyTMhrOL7OYJSjnamSwlNScKiVm_cfELNOCjd92xPjTx-v3tncwOoA,1098,485,406,GRANDMASTER
ugDyeNknfLfSsTmRS6byeA5uWpEnEWQ5QDBg0Dgc9y0Xv2pINXvPSEGph1GUwy4FQRsOXfu0Um7oYw,1098,123,70,CHALLENGER
xLKKS4GD3XyhoKy-ecOzAdz32W7rNyYSL3Upm8PoZTrBrsvC8UzU2lnAl31yYt6nqIxz48cdBQiBJg,1098,669,661,CHALLENGER
goR9U4sVQ1PD4r8scH24RnllLwTkRHoUSHbkgdU0MlvjSZ1omLi8HG4BBYajZKFLum2mPtp2QC3XRA,1096,152,90,CHALLENGER
WmMJgzTUbdSUHyWO0wHifFMmG7UI26upBuAV0oHGTtUsWFagti7Rujt2eEo4AcOobyEGB4GrcvEGdQ,1095,582,543,CHALLENGER
Re9bgIx9Uu-vChuEhIxFGT2xIgj9uavAP3gVyH_V4RNHgqj0tk02c45dN0oDNWSNK83DepDJoV3iWA,1095,322,246,CHALLENGER
GHl_JuBby8b8PsKlyLBNJV2953GCQtRSPjXN8H3KtqQo88R-YSzRNkjYZWmWra33KYdKtJ4mHS6Mlw,1095,425,373,CHALLENGER
33mSej5C72y_hGBAJblxdoPKoYod8IYt39oFzbqzqtVDLeQS3ia5_hXCqifmz3wh0q1wNFEmszFLag,1094,437,391,CHALLENGER
73ZVjeLajw3ap73culVkPoPCsUPRsJIzE1J2gcs4Tz0ZOgPvgOAoHCfDNzXL_VnrQxhrZMCRsHPiwA,1094,120,68,CHALLENGER
1Zq0M3hjAVQEzXrx4fF3_rjsgY25favyARrK9yOUkKnfCGq773SW3ebX36vU83Z1yN0UlN5Ait8Ztw,1093,238,211,CHALLENGER
80HMAPlsxuRVDFNQ68x8NLWEEjRkkMz8aK8K-HRG_hoFzNwy8oo5yLY7Kfnai2yx5YCOvGbObyeHcA,1093,412,371,GRANDMASTER
8EeOVXQ2JZ0AOLE5mPR543A3aBVt2K5VnxpeP4cuHZ0Xz-b4A-Y0hTi8YHh4Uis1OVBNJb9apHOVRg,1093,295,251,GRANDMASTER
cS_43bROsTrARCZIaKKt1QZYsFoBgucwEewoD-vT4_dJNK3kDIiJMzeMfk_rbGhj_N28Z9WO-bUe1w,1092,147,96,GRANDMASTER
n_veTyhkfenQ4txzHf9girGfNLhF-FPLo7zVrmkx8OrUr1Ywgx7eRZJOJ68doqYrYzGkkKdqZa7ZZw,1092,300,256,GRANDMASTER
IaROYZRjt8_9LwtGjNgPabGSpdEHTNc7eDcbuAuLuVIq2e-lRVtQTHqFHijBc6HmdSDeFj8ig04wdg,1092,361,312,CHALLENGER
qwlWLYxDRBSpeTCDESwkDh-V7iueXTIqc1LqMCtiyE-R8AJVkH_c6B0Bv8tc4TBG119OOnTIFaKWnQ,1091,193,131,CHALLENGER
lrfl-Foo6Lu4CNU4_-DRxvX-VGpdyj5gYxfO7SGfZ3kyVJBTEETP26rDR6V77O_zYMASAuPb5U1yWg,1091,531,506,CHALLENGER
zHoRL0tUY4AYcwqvD_TNWRAflaUKuACVBiPFAapNCc-0VhAENpB0w2Q6Fkl5Nwj6TU7a9t6ILNvccw,1090,283,246,GRANDMASTER
JLNbNRaz7HwSR_JvlnA01aXcrBH1gGg1mq7A6ZVxSX6F-8T8cPnsZMAMG-f_MSDQsGgQzwnHgoZ1hg,1089,414,350,CHALLENGER
mAFVokF1PjQSpxeQMwQjoZDLLEUVNRU9owBvgkmluGGV-dtbZO0aB9ll58-L5ui5tM6-cqP4r0AyZA,1087,122,80,CHALLENGER
uZGWAZ4W1LJ9nrKoBkrCAV5_S_7zFK0KOz6XoV-kfC-zQB1PgjK5HWYnQfzuVoUfj10Y5lBRi7ZO-g,1086,187,140,CHALLENGER
3yA2GTk6-cMAdyA6l8IEh2_YWbiFAmTBkCcaFeKoIyRhrMTMUsEzCXVt56TQsgTscGzZk3sQeN8DTA,1086,325,266,CHALLENGER
7koFHbx8uVceOuF7E-C9TdR2gzJKxabB8g-PLThqPIRzjuzF4x5XPYZ_5HqL30yOuWpvx9-qjLk8sw,1084,224,166,CHALLENGER
IklVWNH1MGXg8IQ4TIgHyJ-hhsfWShe-Ocjttd8KTwFcKeZoAVCzCtkPQCMguAlHNr9RQXoe5yfRzg,1084,261,138,CHALLENGER
